DOH_Code,SPEED_Code,Facility_Name,Facility_Type,Ownership_Government,Region_Name,Region_PSGC,Province_Name,Province_PSGC,Municipality_Name,Municipality_PSGC,Barangay_Name,Barangay_PSGC,Latitude,Longitude,Source_lat_long,Precision_lat_long,Comment
86,,BALABAC RURAL HEALTH UNIT,Rural Health Unit,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BALABAC,175304000,POBLACION I,175304024,7.979,117.061,NAMRIA 2000,Unknown,
18127,,CATAGUPAN BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BALABAC,175304000,CATAGUPAN,175304006,7.992864,116.983211,Barangay Centroid,Low,
18215,4BPAL205B,BULILUYAN BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,BULILUYAN,175305003,8.34581,117.19851,NAMRIA 2013,High,
18138,4BPAL204B,PURING BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,PURING,175305012,8.38439,117.22539,NAMRIA 2013,High,
18136,4BPAL203B,TAGNATO BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,TAGNATO,175305019,8.40964,117.25657,NAMRIA 2013,High,
18217,4BPAL206B,TABUD BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,TABUD,175305018,8.42614,117.220799,Barangay Centroid,Low,
18134,4BPAL202B,MALITUB BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,MALITUB,175305009,8.43948,117.29275,NAMRIA 2013,High,
18132,4BPAL201B,SAPA BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,SAPA,175305015,8.45619,117.3176,NAMRIA 2013,High,
3394,,"RTN FOUNDATION, INC. HOSPITAL",Private Hospital,,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,RIO TUBA,175305013,8.5031,117.43895,Google Map,Low,
18219,4BPAL207B,TAGOLANGO BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,TAGOLANGO,175305020,8.519056,117.254433,Barangay Centroid,Low,
18244,4BPAL220B,TARATAK BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,TARATAK,175305021,8.52441,117.39402,NAMRIA 2013,High,
18246,4BPAL221B,SUMBILING BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,SUMBILING,175305017,8.52711,117.35919,NAMRIA 2013,High,
18242,4BPAL219B,RIO TUBA BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,RIO TUBA,175305013,8.52918,117.43487,NAMRIA 2013,High,
18235,4BPAL217B,SARONG BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,SARONG,175305016,8.54821,117.50126,NAMRIA 2013,High,
726,4BPAL201H,RIO TUBA FOUNDATION INC HOSPITAL,Private Hospital,,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,RIO TUBA,175305013,8.559885,117.406441,Barangay Centroid,Low,
18239,4BPAL218B,OCAYAN BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,OCAYAN,175305011,8.56521,117.45642,NAMRIA 2013,High,
18233,,IGANG-IGANG BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,IGANG-IGANG,175305005,8.57128,117.52938,NAMRIA 2013,High,
18232,4BPAL215B,IWAHIG BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,IWAHIG,175305007,8.59946,117.50595,NAMRIA 2013,High,
18231,4BPAL214B,SANDOVAL BARANGAY HEALTH STATION,Barangay Health Station,LGU,REGION IV-B (MIMAROPA),170000000,PALAWAN,175300000,BATARAZA,175305000,SANDOVAL,175305014,8.62871,117.45047,NAMRIA 2013,High,
