name,type,population,Lat,Long
Abaca,hamlet,,12.05,123.9524
Abacjanan,hamlet,,9.711389,124.360278
Abango,hamlet,,11.254575,124.744891
Abas,village,,12.96506,123.677426
Abejao,hamlet,,11.183333,125.616667
Abijae,hamlet,,11.1532,124.3959
Abo,village,,9.245184,124.698447
Abobo,hamlet,,11.366667,124.366667
Abra de Ilog,town,,13.455325,120.756307
Abuanan,village,,10.524205,122.993311
Abuaya,hamlet,,9.833333,124.033333
Abucay,hamlet,,9.65,123.966667
Abucay,village,,11.239226,124.984737
Abucayan,hamlet,,10.5,123.716667
Aburas,hamlet,,12.5112,123.7214
Abuyog,town,,10.747102,125.011485
Abuyog,village,,12.946098,124.05193
Acaban,village,,11.687899,124.499706
Acbo,hamlet,,11.4334,122.672
Adela,village,1493,10.679008,124.436682
Adlaon,village,,10.435289,123.870789
Adlusan,hamlet,,11.7659,122.0119
Adovis,village,,12.871098,124.011993
Ag-ambulong,hamlet,,11.3684,122.5094
Aganhaw,hamlet,,13.4066,121.2143
Agas (Limite),village,791,11.537839,124.342132
Agayan,hamlet,,11.216667,124.533333
Agbabadiang,hamlet,,11.4686,122.8092
Agbading,hamlet,,11.878375,122.02291
Agbago,village,,11.808749,122.146888
Agbalo,hamlet,,11.497132,122.820206
Agbalogo,village,,11.720742,122.279348
Agbaluto,hamlet,,12.564728,122.273213
Agbanga,hamlet,,11.0869,124.444
Agbobolo,hamlet,,11.410634,122.853076
Agbudia,hamlet,,12.606025,122.291113
Agbuwakan,village,,10.442172,123.898468
Agcagay,hamlet,,11.4253,122.5196
Agcatol,hamlet,,11.196583,122.733083
Agcogon,hamlet,,12.316667,122.016667
Agdabon,hamlet,,11.3051,122.7236
Agdahon,village,,11.12193,122.610466
Agdaleran,hamlet,,11.297222,123.103611
Agdalipe,hamlet,,11.4761,122.8194
Agdayao,village,,11.102237,122.590091
Agkilo,village,,11.4606,122.7717
Aglalana,village,,11.197929,122.667713
Aglimocan,hamlet,,11.337778,122.924167
Agmalobo,hamlet,,11.528889,122.666944
Agnag,hamlet,,12.503932,122.325613
Agnay,hamlet,,12.574827,122.259613
Agnipa,hamlet,,12.514631,122.264713
Ago,hamlet,,12.65,123.65
Agojo,village,,9.246946,124.67487
Agpudios,village,,12.580068,122.003148
Agsalin,hamlet,,12.879311,121.484915
Agsilab,hamlet,,11.516111,122.566944
Agsungot,village,,10.434775,123.909755
Agtabo,village,,11.153194,122.732778
Agtalos,hamlet,,11.5982,122.2415
Agtambi,hamlet,,11.3561,122.7009
Agtambo,village,,11.173389,122.656167
Agtanguay,hamlet,,11.3889,122.7474
Agtatacay,hamlet,,11.509722,122.561667
Agtongo,hamlet,,12.594426,122.268413
Agtugas,hamlet,,11.187889,122.75375
Agubay,hamlet,,11.0231,124.4888
Aguila,hamlet,,11.5105,122.0874
Aguining,village,,10.086117,124.594438
Aguiting,village,2186,11.130609,124.60008
Agujo,village,,11.268024,124.013115
Aguren,village,,9.105294,124.738941
Agus,village,,10.277472,123.984221
Agustin,hamlet,,9.620833,123.955556
Agutaya,town,,11.274593,120.911145
Airport,village,1005,11.058049,124.563882
Ajuy,town,,11.171333,123.019908
Alad,hamlet,,13.3679,121.0822
Alad,hamlet,,12.616824,122.247513
Alangalang,town,,11.206111,124.846667
Alangalang,village,,11.206111,124.846667
Alangilan,village,,10.660801,123.077824
Alangilan,village,,9.09924,124.75038
Alapasco,hamlet,,11.440042,123.054157
Alasaguin,hamlet,,11.3728,122.9178
Alayonan,hamlet,,11.384967,122.814184
Alba,hamlet,,11.733333,122.333333
Albasan,village,,11.726464,122.337139
Albuera,town,,10.918039,124.695947
Alburquerque,town,,9.611585,123.958179
Alcantara,town,,9.971421,123.406961
Alcantara,town,,12.258929,122.053496
Alcoy,town,,9.708611,123.507411
Alegre,hamlet,,11.5388,122.1117
Alegria,town,,9.483333,125.583333
Alegria,village,,10.686763,123.8278
Alegria,village,,10.254102,123.952952
Alegria,village,,12.851205,124.090963
Alegria,village,,10.14646,124.374566
Alegria,village,,9.854272,124.140803
Alegria,village,,9.728927,123.339869
Alegria,village,,10.055077,126.069185
Alegria,hamlet,,11.851278,121.88861
Alegria,hamlet,,11.996268,121.380698
Alfonso XII,hamlet,,11.383333,122.333333
Aliagaro,hamlet,,11.059722,125.706389
Alibagon,hamlet,,11.7335,122.2845
Alibog,hamlet,,12.229056,121.228112
Alicia,town,,9.9,124.433333
Aliguay,hamlet,,10.733333,123.833333
Alijis,village,,10.634552,122.951074
Alijogan,hamlet,,13.416883,121.824056
Alimawan,hamlet,,12.266953,121.262612
Alimodian,town,,10.816358,122.432125
Alimono,village,,11.170755,122.699117
Alipaoy,hamlet,,13.438056,120.476667
Alipato,hamlet,,11.438889,123.254722
Aliplo,hamlet,,11.4117,122.6199
Alisoso,hamlet,,12.570408,123.719272
Alitaytay,hamlet,,12.426443,121.123613
Aliwanay,hamlet,,10.498339,123.71483
Allen,town,,12.501156,124.282721
Almagro,town,,11.933333,124.3
Almagro,hamlet,,11.9109,124.2858
Almarco,hamlet,,11.0833,124.3987
Almeria,town,,11.620278,124.381667
Aloguinsan,town,,10.222741,123.549078
Alta Vista,village,1900,11.011803,124.620324
Altavas,town,,11.537389,122.488137
Altavista,village,728,10.6491,124.4396
Amaga,hamlet,,12.514236,121.425414
Amaga,hamlet,,11.4295,122.6762
Amatugan,hamlet,,10.679444,123.870833
Ambilay,hamlet,,11.3959,122.762
Ambo,hamlet,,12.316667,123.633333
Ambolong,village,,12.508621,123.401457
Ambulong,village,,12.491807,122.489385
Ambulong,village,,12.22107,121.024321
Amlan,town,,9.463611,123.226667
Amoroy,village,,12.502964,123.3737
Amugis,hamlet,,12.4732,121.4053
Amugius,hamlet,,13.3324,121.1282
Amutag,village,,12.375409,123.265459
Anahauan,hamlet,,11.164448,124.93807
Anahauay,hamlet,,11.152778,124.947778
Anahawan,town,,10.274547,125.255472
Anapog,hamlet,,10.676325,123.938256
"Anapog, Toledo",village,,10.310148,123.639
Anas,hamlet,,10.966667,124.716667
Anciray,hamlet,,12.266111,121.072222
Anda,town,,9.743494,124.575847
Andagao,hamlet,,11.699,122.3723
Andres Bonifacio,hamlet,,10.949998,125.03333
Anduyanan,hamlet,,13.429167,120.511944
Angub,hamlet,,11.328,122.668
Angub,hamlet,,11.3494,122.6641
Anhawon,hamlet,,11.536389,122.792222
Anibong,village,,11.001498,124.993588
Anilao,town,,11,122.716667
Anilao,hamlet,,13.3424,121.2265
Aningalan,village,,10.953572,123.924988
Anini-y,town,,10.430464,121.926387
Aniog,village,,12.811181,124.018405
Anislag,village,4823,13.074249,123.701794
ANISLAG,village,,10.240137,123.641284
Anislag Resettlement Site,village,,13.06601,123.694166
Anislagan,hamlet,,11.5198,124.3158
Anito,village,,9.229606,124.7444
Anito,village,,12.450403,125.287648
Anoling,hamlet,,13.069399,121.446317
Anonang,hamlet,,10.085278,124.167778
Anonang Norte,village,,10.993894,123.965888
Anonang Sur,village,,10.986598,123.956864
Anoron,hamlet,,11.088414,125.717028
Anpog,village,,11.017952,123.9109
Antequera,town,,9.78,123.898889
Antihon,hamlet,,9.660833,124.14
Antipolo,village,,13.287175,121.331243
Antipolo,hamlet,,11.164575,123.952045
Antipolo,hamlet,,11.766667,122.133333
Antipolo,hamlet,,12.199745,123.849303
Antonino,hamlet,,12.1542,123.9054
Aom,hamlet,,10.083333,124.166667
Aparicio,hamlet,,11.7137,122.173
Apid,village,,10.298284,123.743134
Apitong,village,,11.222672,124.992649
Apo Village,hamlet,,9.076823,123.26882
Aquino,hamlet,,11.818153,122.112586
Ara-al,village,,10.419677,123.046735
Arac,village,,11.122684,122.636564
Araceli,town,,10.616667,119.866667
Arado,hamlet,,10.95,125.033333
Arado,hamlet,,11.116667,125
Arado,hamlet,,12.1448,123.7881
Arangin,hamlet,,13.232375,121.112495
Aranguel,hamlet,,11.4409,122.9341
Aras - Asan,town,,8.888558,126.309424
Aras-asan,hamlet,,11.5289,122.0832
Argao,town,,9.881872,123.608949
Argao,village,,11.911664,121.940765
Argauanon,hamlet,,11.05,123.983333
Ariman,village,,12.910293,124.114711
Aroroy,town,,12.511822,123.396755
Aroroy,village,,12.824304,124.005693
